,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Expected Delivery,Availability,Returns/Exchange,Other Details
10,Visit the JUAREZ Store,"JUAREZ JRZ38C Right Handed Acoustic Guitar with Bag, Strings, Pick and Strap (Natural, 6 Strings)",,"2,027 ratings","₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Number of Frets: 18
Acoustic guitar with strap, bag, strings and 2 picks
Great looks with an innovative design to produce quality sound
Finger Board: Linden wood
Fretboard: Ebony wood
Size: 38 inches, cutaway
Linden binding and full wood construction with geared tuning, wood frame and steel strings"
11,Visit the Intern Store,Intern 38-inch Cutaway Design Black Acoustic Guitar with Picks & Carry Bag,,973 ratings,"₹ 2,290.00","FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"About this item
Great looks with an innovative design to produce quality warm bright resonant tone
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Combo includes Guitar, quality and durable carry bag with extra pockets and comfort handle, Intern Branded Plectrums
Linden binding and maximum wood construction with geared tuning, wood frame and steel strings
Sturdy box package with multiple plies plus instrument wrap ensure that guitar reaches you as it is just out of the factory with no damages or scratches
Bag with stylish nylon made and long lasting material
Country of Origin: China"
12,Visit the JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black",,722 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Jumbo Design, 38 Inch Acoustic Steel String Guitar, Black Glossy Finish, Number of Frets: 18
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings
Great looks with an innovative design to produce good quality sound
Package Includes : Acoustic Guitar with strap, Bag, Strings and 2 Picks"
13,Visit the JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black",,144 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
14,Brand: Shreearya Fashion,Shreearya Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,-,-,-,-,Available from these sellers.,7 Days Returnable,"Very Crisp and Clear Sound of Strings
4 String which are tune-able. A very good toy for kids who are willing to learn guitar.
The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
The size of the guitar:
No batteries required, this is an unlimited fun toy for kids.
› See more product details"
15,Brand: Jixing,"Jixing JXNG-BLK-SC1,Black Acoustic Guitar with Kadence Foldable Guitar Stand,Kadence Tuner,Kadence String,Kadence Strap,Kadence 3 Picks,Kadence Bag & Kadence Capo (Super Combo)",,427 ratings,"₹ 3,499.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 2 hrs and 16 mins Details",In stock.,7 Days Replacement,"The product comes in a proper packaging
This product will be an ideal pick for you
Easy to use
› See more product details"
16,Visit the Intern Store,"Intern INT-38C-SB-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)",,666 ratings,"₹ 2,490.00","FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"About this item
38 inches cutaway revolutionary design and configuration to produce marvellous sound
Hi gloss sunburst color finish
Guitar bundled with accessories like smart strap, bag, strings set and 3 picks
Easy to hold for stress-free playing and ultra-portable
Quality linden wood soundboard for unsurpassed resonance
Intern hi gloss 38-inch guitar, 1 set string, bag, strap and 3 picks
Country of Origin: China"
17,Visit the JUAREZ Store,"JUAREZ JRZ38CTR/BK 38 Inch Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, Black",,73 ratings,"₹ 3,179.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Glossy finish, Number of frets - 18, 38 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.
Material : Top, Back, Sides & Neck - Linden Solid Wood, Fretboard & Bridge - ABS, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings
Linden binding and full wood construction with geared tuning, wooden frame and steel strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!
Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. . This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.
Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums"
18,Brand: Generic,"crown spceil 215, das musical acoustic guitar",,6 ratings,"₹ 3,550.00",FREE delivery: April 24 - 25 Details,In stock.,7 Days Replacement,"crown guitar
adjust tress rod &touch .pick up
rosewood fretboard
color-blue black (glossy)
› See more product details"
19,Visit the JUAREZ Store,"Juarez Acoustic Guitar, [ LEFT HANDED] 38 Inch Cutaway, 38CL/BK with Bag, Strings, Pick and Strap, Black",,423 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
First Time In India - [ Left Handed ] Acoustic Guitar with strap, Bag, Strings and 2 Picks, Black Glossy Finish, Number of Frets: 18,
Great looks with an innovative design to produce good quality sound. [ NOTE : THIS GUITAR IS DESIGNED TO SUIT LEFT HANDED GUITAR PLAYERS, NOT SUITABLE FOR RIGHT HANDED GUITAR PLAYERS ]
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Left Handed Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
20,Brand: VD Enterprise,VD ENTERPRISE String Acoustic Guitar | Adjustable Tunning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,,13 ratings,₹ 879.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"Toy Guitar is a Great Creativity for little Kids and increase musical talent in your young rock star. Teaches Kids the basics of rhythm, tempo, strumming and create the worlds of Music for your Kids.
It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
This guitar has good sound quality and good wooden finishing it is made up of good quality plastic and is good for playing and learning.
This acoustic guitar makes a great gift for kids and is a great value for the money.
This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
› See more product details"
21,Brand: Wytino,"Guitar Pick Box, Pure Natural Wood Durable to Guarantee Pick Box Set, Music Lovers for Home Christmas Gifts Guitar Accessories",-,-,"₹ 3,599.00",FREE delivery: May 14 - 18 Details,Usually dispatched in 3 to 4 days.,7 Days Replacement,"This wooden storage box is easy to store and carry picks, which can prevent the pick from dust, press and lost
Using pure natural wood, no toxic or harm to human body, durable to guarantee a long service life
Have strong abrasion resistance, using advanced technology to bring exquisite workmanship
Made of high quality wood material, sturdy and firm with fine smooth surface
A perfect guitar music gift for guitarists or music lovers contain 6 guitar picks and 1 storage box
Warranty not applicable for this product
› See more product details"
22,Brand: SPA,Green : Aroma AHF-03 Portable Guitar Bass Piano Hand and Finger Exerciser Medium Tension Hand Grip Trainer,-,-,₹ 699.00,FREE delivery: April 23 - 24 Details,In stock.,7 Days Replacement,
23,Brand: LME,"Laxmi Musical Electronics - Acoustic Pickup for veena, Violin, Guitar and All Acoustic String Instruments",,2 ratings,₹ 599.00,"FREE delivery: Thursday, April 22 Details",In stock.,7 Days Replacement,"Turn your acoustic guitar into an acoustic-electric without expensive modifications
Easy to install: can be clip-on to guitar sound hole and connect the audio input with a standard 1/4"" connector. Clip On Guitar Pickup installation: clamped to the sound hole in parallel with the wire.
will turn your acoustic music more powerful and electric
Suitable for acoustic guitar length: 36 inch - 41 inch Suitable for acoustic guitar length: 36 inch - 41 inch Durable, Flexible and Easy To Play
Made Of Alloy And Copper Material. Captures mechanical vibrations and converts them to an electrical signal which can then be amplified, recorded, or broadcast.
› See more product details"
24,Brand: Medellin,Medellin MED-BLU-C Linden Wood Acoustic Guitar,,341 ratings,"₹ 2,399.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 2 hrs and 15 mins Details",In stock.,7 Days Replacement,"Material: Wood
Colour: Blue
Acoustic Guitar
› See more product details"
25,Visit the JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red",,847 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
26,Visit the JUAREZ Store,"JUAREZ JRZ38C Right Handed Acoustic Guitar (Sunburst, 6 Strings)",,"3,217 ratings","₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Number of Frets: 18
Acoustic guitar with strap, bag, strings and 2 picks
Great looks with an innovative design to produce good quality sound
Finger Board: Linden wood
Fretboard: Ebony wood
Size: 38 inches, cutaway
Linden binding and full wood construction with geared tuning, wood frame and steel strings
Country of Origin: China"
27,Brand: HOVNER,"Hovner 215 Dark Green F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By V3",-,-,"₹ 3,980.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"41 inch F- Cut Acoustic Guitar, Fretboard : Rose Wood, String : Steel
Great looks with an innovative design to produce good quality sound
Adjustable bridge and reinforced Truss Rod
Inbuilt pick up to plug and play with amplifier, Bag,Strap,1 Set of Extra Strings and 2 Picks included
100% Genuine Product Sold by K-Retail
› See more product details"
28,Brand: Our Store,"Our Store 24"" 6 String Decor Guitar Children's Musical Instrument Educational Toy Guitar for Beginners Kids Child (Color May Vary)",,1 rating,"₹ 1,498.00","FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"Very Crisp and Clear Sound of Strings.
This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
Helps kids have fun and stimulate and develop their talent & interest. This Guitar Is 24 Inches In Length.
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children. Recommended for ages above 6 years.
› See more product details"
